country,date,cases,deaths,recovered,new_cases,new_deaths,new_recovered
Afghanistan,2023-02-08,208771,7896,0,0.0,0.0,0.0
Afghanistan,2023-02-09,208771,7896,0,0.0,0.0,0.0
Afghanistan,2023-02-10,208943,7896,0,172.0,0.0,0.0
Afghanistan,2023-02-11,208971,7896,0,28.0,0.0,0.0
Afghanistan,2023-02-12,208982,7896,0,11.0,0.0,0.0
Afghanistan,2023-02-13,209011,7896,0,29.0,0.0,0.0
Afghanistan,2023-02-14,209036,7896,0,25.0,0.0,0.0
Afghanistan,2023-02-15,209056,7896,0,20.0,0.0,0.0
Afghanistan,2023-02-16,209072,7896,0,16.0,0.0,0.0
Afghanistan,2023-02-17,209083,7896,0,11.0,0.0,0.0
Afghanistan,2023-02-18,209084,7896,0,1.0,0.0,0.0
Afghanistan,2023-02-19,209107,7896,0,23.0,0.0,0.0
Afghanistan,2023-02-20,209153,7896,0,46.0,0.0,0.0
Afghanistan,2023-02-21,209181,7896,0,28.0,0.0,0.0
Afghanistan,2023-02-22,209181,7896,0,0.0,0.0,0.0
Afghanistan,2023-02-23,209215,7896,0,34.0,0.0,0.0
Afghanistan,2023-02-24,209230,7896,0,15.0,0.0,0.0
Afghanistan,2023-02-25,209246,7896,0,16.0,0.0,0.0
Afghanistan,2023-02-26,209274,7896,0,28.0,0.0,0.0
Afghanistan,2023-02-27,209308,7896,0,34.0,0.0,0.0
Afghanistan,2023-02-28,209322,7896,0,14.0,0.0,0.0
Afghanistan,2023-03-01,209340,7896,0,18.0,0.0,0.0
Afghanistan,2023-03-02,209358,7896,0,18.0,0.0,0.0
Afghanistan,2023-03-03,209362,7896,0,4.0,0.0,0.0
Afghanistan,2023-03-04,209369,7896,0,7.0,0.0,0.0
Afghanistan,2023-03-05,209390,7896,0,21.0,0.0,0.0
Afghanistan,2023-03-06,209406,7896,0,16.0,0.0,0.0
Afghanistan,2023-03-07,209436,7896,0,30.0,0.0,0.0
Afghanistan,2023-03-08,209451,7896,0,15.0,0.0,0.0
Afghanistan,2023-03-09,209451,7896,0,0.0,0.0,0.0
Albania,2023-02-08,334222,3596,0,0.0,0.0,0.0
Albania,2023-02-09,334229,3596,0,7.0,0.0,0.0
Albania,2023-02-10,334229,3596,0,0.0,0.0,0.0
Albania,2023-02-11,334234,3596,0,5.0,0.0,0.0
Albania,2023-02-12,334255,3596,0,21.0,0.0,0.0
Albania,2023-02-13,334255,3596,0,0.0,0.0,0.0
Albania,2023-02-14,334264,3596,0,9.0,0.0,0.0
Albania,2023-02-15,334264,3596,0,0.0,0.0,0.0
Albania,2023-02-16,334273,3596,0,9.0,0.0,0.0
