Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day
1001,2024-01-01,CUST1,Male,25.0,Electronics,1,250,250.0,2024,1,1
1002,2024-01-02,CUST2,Female,34.0,Grocery,2,20,40.0,2024,1,2
1003,2024-01-03,CUST3,Female,29.0,Clothing,1,40,40.0,2024,1,3
1004,2024-01-04,CUST4,Male,34.0,Clothing,3,50,150.0,2024,1,4
1005,2024-01-05,CUST5,Unknown,45.0,Grocery,5,15,75.0,2024,1,5
1007,2024-01-07,CUST7,Female,34.0,Grocery,2,22,44.0,2024,1,7
1008,2024-01-08,CUST8,Female,29.0,Clothing,4,45,180.0,2024,1,8
1009,2024-01-09,CUST9,Male,34.0,Clothing,1,60,60.0,2024,1,9
1010,2024-01-10,CUST10,Unknown,45.0,Grocery,6,10,60.0,2024,1,10
1011,2024-01-11,CUST11,Male,25.0,Electronics,1,260,260.0,2024,1,11
1012,2024-01-12,CUST12,Female,34.0,Grocery,1,21,21.0,2024,1,12
1013,2024-01-13,CUST13,Female,29.0,Clothing,2,38,76.0,2024,1,13
1014,2024-01-14,CUST14,Male,34.0,Clothing,2,55,110.0,2024,1,14
1015,2024-01-15,CUST15,Unknown,45.0,Grocery,8,13,104.0,2024,1,15
1016,2024-01-16,CUST16,Male,25.0,Electronics,1,245,245.0,2024,1,16
1017,2024-01-17,CUST17,Female,34.0,Grocery,1,23,23.0,2024,1,17
1018,2024-01-18,CUST18,Female,29.0,Clothing,2,44,88.0,2024,1,18
1019,2024-01-19,CUST19,Male,34.0,Clothing,2,59,118.0,2024,1,19
1020,2024-01-20,CUST20,Unknown,45.0,Grocery,10,9,90.0,2024,1,20
