Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1001,2024-01-01,CUST1,Male,25.0, electronics ,1,250,250.0
1018,2024-01-18,CUST18,FEMALE,29.0, clothing ,2,44,88.0
1016,2024-01-16,CUST16,Male,25.0, electronics ,1,245,245.0
1002,2024-01-02,CUST2,Female,34.0, GROCERY ,2,20,
1009,2024-01-09,CUST9,male,, Clothing ,1,60,
1002,2024-01-02,CUST2,Female,34.0, GROCERY ,2,20,
1012,2024-01-12,CUST12,Female,34.0, GROCERY ,1,21,21.0
1004,2024-01-04,CUST4,male,, Clothing ,3,50,150.0
1019,2024-01-19,CUST19,male,, Clothing ,2,59,118.0
1017,2024-01-17,CUST17,Female,34.0, GROCERY ,1,23,23.0
1014,2024-01-14,CUST14,male,, Clothing ,2,55,110.0
1003,2024-01-03,CUST3,FEMALE,29.0, clothing ,1,40,40.0
1010,2024-01-10,CUST10,,45.0, grocery ,6,10,60.0
1020,2024-01-20,CUST20,,45.0, grocery ,10,9,90.0
1005,2024-01-05,CUST5,,45.0, grocery ,5,15,75.0
1013,2024-01-13,CUST13,FEMALE,29.0, clothing ,2,38,
1008,2024-01-08,CUST8,FEMALE,29.0, clothing ,4,45,180.0
1011,2024-01-11,CUST11,Male,25.0, electronics ,1,260,
1015,2024-01-15,CUST15,,45.0, grocery ,8,13,104.0
1007,2024-01-07,CUST7,Female,34.0, GROCERY ,2,22,44.0
